     time   lidar_F   lidar_R      gyro compass_x compass_y
   0.0000  4.692247  4.378413  0.000010  0.996831  0.000000
   0.0050  4.913653  4.501258  0.000162  1.041599  0.000001
   0.0100  4.766141  4.249695 -0.000036  0.951232  0.000001
   0.0150  4.935338  4.605223 -0.000066  0.976883  0.000000
   0.0200  4.833659  4.395869  0.000021  1.053557  0.000000
   0.0250  4.989697  4.118228 -0.000058  0.979769  0.000000
   0.0300  4.549295  4.622401 -0.000102  0.983833 -0.000000
   0.0350  4.815130  4.793482 -0.000098  0.938488 -0.000001
   0.0400  4.737544  4.777329 -0.000098  0.931405 -0.000001
   0.0450  4.550530  4.783685 -0.000076  1.005234 -0.000002
   0.0500  5.107162  4.417528 -0.000053  1.031697 -0.000002
   0.0550  4.779088  4.620713 -0.000049  0.964363 -0.000002
   0.0600  4.562614  4.478559 -0.000050  0.993212 -0.000003
   0.0650  4.876605  4.701392 -0.000049  1.002495 -0.000003
   0.0700  4.513370  4.383137 -0.000049  1.042704 -0.000003
   0.0750  4.532459  4.942304 -0.000044  0.980129 -0.000003
   0.0800  5.083777  4.319192 -0.000045  1.091955 -0.000003
   0.0850  4.837021  4.599507 -0.000039  1.030628 -0.000004
   0.0900  5.068441  4.553348 -0.000037  1.004850 -0.000004
   0.0950  5.293214  4.572841 -0.000034  1.002151 -0.000004
   0.1000  4.565739  4.690686 -0.000027  0.929579 -0.000004
   0.1050  4.847981  4.572164 -0.000023  1.000536 -0.000004
   0.1100  4.680855  4.646128 -0.000021  0.993146 -0.000004
   0.1150  4.675851  4.289919 -0.000019  1.057748 -0.000004
   0.1200  4.985041  4.963120 -0.000016  1.055717 -0.000005
   0.1250  4.583307  4.400926 -0.000015  0.906631 -0.000004
   0.1300  4.769176  4.827391 -0.000012  0.895617 -0.000005
   0.1350  4.625486  4.653525 -0.000014  0.997724 -0.000005
   0.1400  4.550424  4.579059 -0.000013  0.975539 -0.000005
   0.1450  4.668004  4.800329 -0.000015  0.996101 -0.000005
   0.1500  4.378372  4.678098 -0.000016  0.986086 -0.000005
   0.1550  4.876716  4.772586 -0.000020  1.057228 -0.000005
   0.1600  4.656553  4.748119 -0.000022  0.969122 -0.000005
   0.1650  4.516758  4.941900 -0.000025  0.947732 -0.000005
   0.1700  4.975325  4.689020 -0.000025  0.951871 -0.000005
   0.1750  4.632870  4.484269 -0.000028  0.941210 -0.000006
   0.1800  5.066116  4.356726 -0.000035  1.048819 -0.000006
   0.1850  5.015644  5.013644 -0.000065  1.042099 -0.000005
   0.1900  5.003111  4.853413 -0.000132  0.943624 -0.000007
   0.1950  5.005932  4.811451 -0.000225  0.887889 -0.000007
